software,component,license,repo_status,approval_status,red_flag_level,finding,cve_watch,origin,recommendation,sources,last_checked
ocrmypdf,python package,MPL-2.0,PENDING-IN-REPO,TBD,Medium,Needs Ghostscript + Tesseract binaries; dependency-chain risk must be patched/maintained.,Indirect risk via Ghostscript/Tesseract chain; track dependency advisories.,OCRmyPDF maintainers (US/EU OSS community),Approve conditionally with patch cadence + locked versions.,https://github.com/ocrmypdf/OCRmyPDF | https://nvd.nist.gov/vuln/detail/CVE-2024-29511,2026-03-02
Tesseract OCR,system binary,Apache-2.0,Documented in repo setup,TBD,Low-Medium,Permissive license; mature OCR engine; keep current because OCR surfaces parser attack input.,Watch upstream + distro CVEs; avoid stale binaries.,tesseract-ocr community,Approve from official GitHub or vetted distro channel only.,https://github.com/tesseract-ocr/tesseract,2026-03-02
Poppler,system binary,GPL-2.0+/GPL-3.0,Applying in repo notes,TBD,High,Frequent PDF parser CVEs; GPL may trigger policy/legal review.,"Recent CVEs include CVE-2025-52885, CVE-2025-52886.",freedesktop.org,Approve only with strict update SLA and legal sign-off; or use approved alternative PDF render path.,https://nvd.nist.gov/vuln/detail/CVE-2025-52885 | https://nvd.nist.gov/vuln/detail/CVE-2025-52886 | https://poppler.freedesktop.org,2026-03-02
pillow,python package,HPND,APPROVED-IN-REPO,TBD,Medium,Image parser historically receives memory safety CVEs; current pin should stay patched.,Example recent issue CVE-2026-25990 fixed in 12.1.1.,Pillow maintainers,Keep pinned to latest fixed version; rescan quarterly.,https://nvd.nist.gov/vuln/detail/CVE-2026-25990 | https://pypi.org/project/pillow/,2026-03-02
Mermaid,diagram renderer,MIT,NEEDS-REQUEST,TBD,Medium,Recent XSS advisories in user-supplied diagram rendering contexts.,GHSA-7rqq-prvp-x9jh and related advisories.,mermaid-js OSS,Approve only if pinned to patched versions and rendered in sandboxed mode.,https://github.com/mermaid-js/mermaid/security | https://github.com/advisories/GHSA-7rqq-prvp-x9jh,2026-03-02
Graphviz,system binary,EPL/CPL family,NEEDS-REQUEST,TBD,Low-Medium,Enterprise-common diagram tool; verify license compatibility statement.,Track Graphviz CVEs if renderer is exposed.,Graphviz open source project,Good fallback for deterministic diagram output.,https://graphviz.org/license/,2026-03-02
python-pptx,python package,MIT,APPROVED-IN-REPO,TBD,Low,Low controversy package for PPT generation/editing.,No major obvious red flags in quick pass.,python-pptx maintainers,Approve/retain.,https://pypi.org/project/python-pptx/,2026-03-02
pywin32,python package,PSF-2.0,NEEDS-REQUEST,TBD,Medium,Useful for Office/Visio COM automation; increases endpoint automation risk surface.,No major obvious red flags in quick pass; treat as privileged automation.,pywin32 maintainers,Approve only if native Visio/Office automation is mandatory.,https://pypi.org/project/pywin32/,2026-03-02
OpenAI SDK,python package,MIT,PENDING-IN-REPO,TBD,Policy-driven,"Primary risk is data governance/policy, not package CVEs.",Track dependency CVEs (httpx/urllib3/cryptography).,OpenAI,Approve with endpoint allowlist + logging + DLP.,https://pypi.org/project/openai/,2026-03-02
CISA KEV gate,process control,N/A,Recommended control,TBD,Control,Use KEV as rejection/conditional gate for actively exploited vulnerabilities.,Reject or conditionally approve unresolved KEV exposure.,CISA,Make KEV check mandatory in software approval workflow.,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,2026-03-02
